2016-03-26 11:07:45 status half-installed ifupdown 0.6.10ubuntu4
2016-03-26 11:07:45 status unpacked ifupdown 0.6.10ubuntu4
2016-03-26 11:07:45 status unpacked ifupdown 0.6.10ubuntu4
2016-03-26 11:07:45 install initramfs-tools <none> 0.98.8ubuntu3
2016-03-26 11:07:45 status half-installed initramfs-tools 0.98.8ubuntu3
2016-03-26 11:07:45 status unpacked initramfs-tools 0.98.8ubuntu3
2016-03-26 11:07:45 status unpacked initramfs-tools 0.98.8ubuntu3
2016-03-26 11:07:45 install initramfs-tools-bin <none> 0.98.8ubuntu3
2016-03-26 11:07:45 status half-installed initramfs-tools-bin 0.98.8ubuntu3
2016-03-26 11:07:45 status unpacked initramfs-tools-bin 0.98.8ubuntu3
2016-03-26 11:07:45 status unpacked initramfs-tools-bin 0.98.8ubuntu3
2016-03-26 11:07:45 install initscripts <none> 2.87dsf-4ubuntu23
2016-03-26 11:07:45 status half-installed initscripts 2.87dsf-4ubuntu23
2016-03-26 11:07:45 status unpacked initscripts 2.87dsf-4ubuntu23
2016-03-26 11:07:45 status unpacked initscripts 2.87dsf-4ubuntu23
2016-03-26 11:07:45 install insserv <none> 1.14.0-2
2016-03-26 11:07:45 status half-installed insserv 1.14.0-2
2016-03-26 11:07:45 status unpacked insserv 1.14.0-2
2016-03-26 11:07:45 status unpacked insserv 1.14.0-2
2016-03-26 11:07:45 install klibc-utils <none> 1.5.20-1ubuntu6
2016-03-26 11:07:45 status half-installed klibc-utils 1.5.20-1ubuntu6
2016-03-26 11:07:45 status unpacked klibc-utils 1.5.20-1ubuntu6
2016-03-26 11:07:45 status unpacked klibc-utils 1.5.20-1ubuntu6
2016-03-26 11:07:45 install libacl1 <none> 2.2.49-4ubuntu2
2016-03-26 11:07:45 status half-installed libacl1 2.2.49-4ubuntu2
2016-03-26 11:07:45 status unpacked libacl1 2.2.49-4ubuntu2
2016-03-26 11:07:45 status unpacked libacl1 2.2.49-4ubuntu2
2016-03-26 11:07:45 install libattr1 <none> 1:2.4.44-2ubuntu3
2016-03-26 11:07:45 status half-installed libattr1 1:2.4.44-2ubuntu3
2016-03-26 11:07:45 status unpacked libattr1 1:2.4.44-2ubuntu3
2016-03-26 11:07:45 status unpacked libattr1 1:2.4.44-2ubuntu3
2016-03-26 11:07:45 install libblkid1 <none> 2.17.2-9.1ubuntu4
2016-03-26 11:07:45 status half-installed libblkid1 2.17.2-9.1ubuntu4
2016-03-26 11:07:45 status unpacked libblkid1 2.17.2-9.1ubuntu4
2016-03-26 11:07:45 status unpacked libblkid1 2.17.2-9.1ubuntu4
2016-03-26 11:07:45 install libbz2-1.0 <none> 1.0.5-6ubuntu1
2016-03-26 11:07:45 status half-installed libbz2-1.0 1.0.5-6ubuntu1
2016-03-26 11:07:45 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2016-03-26 11:07:45 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2016-03-26 11:07:45 install libc-bin <none> 2.13-0ubuntu13
2016-03-26 11:07:45 status half-installed libc-bin 2.13-0ubuntu13
2016-03-26 11:07:45 status unpacked libc-bin 2.13-0ubuntu13
2016-03-26 11:07:45 status unpacked libc-bin 2.13-0ubuntu13
2016-03-26 11:07:45 upgrade libc6 2.13-0ubuntu13 2.13-0ubuntu13
2016-03-26 11:07:45 status half-configured libc6 2.13-0ubuntu13
2016-03-26 11:07:45 status unpacked libc6 2.13-0ubuntu13
2016-03-26 11:07:45 status half-installed libc6 2.13-0ubuntu13
2016-03-26 11:07:46 status half-installed libc6 2.13-0ubuntu13
2016-03-26 11:07:46 status unpacked libc6 2.13-0ubuntu13
2016-03-26 11:07:46 status unpacked libc6 2.13-0ubuntu13
2016-03-26 11:07:46 install libcomerr2 <none> 1.41.14-1ubuntu3
2016-03-26 11:07:46 status half-installed libcomerr2 1.41.14-1ubuntu3
2016-03-26 11:07:46 status unpacked libcomerr2 1.41.14-1ubuntu3
2016-03-26 11:07:46 status unpacked libcomerr2 1.41.14-1ubuntu3
2016-03-26 11:07:46 install libdb4.8 <none> 4.8.30-5ubuntu2
2016-03-26 11:07:46 status half-installed libdb4.8 4.8.30-5ubuntu2
2016-03-26 11:07:46 status unpacked libdb4.8 4.8.30-5ubuntu2
2016-03-26 11:07:46 status unpacked libdb4.8 4.8.30-5ubuntu2
2016-03-26 11:07:46 install libdbus-1-3 <none> 1.4.6-1ubuntu6
2016-03-26 11:07:46 status half-installed libdbus-1-3 1.4.6-1ubuntu6
2016-03-26 11:07:46 status unpacked libdbus-1-3 1.4.6-1ubuntu6
2016-03-26 11:07:46 status unpacked libdbus-1-3 1.4.6-1ubuntu6
2016-03-26 11:07:46 install libdrm-intel1 <none> 2.4.23-1ubuntu6
2016-03-26 11:07:46 status half-installed libdrm-intel1 2.4.23-1ubuntu6
